 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
HPCMS2018,High Performance Computing for Advanced Modeling and Simulation in Nuclear Energy and Environmental Science,https://easychair.org/cfp/hpcms2018,"Beijing, China",9-Mar-18,12-Jun-18,"['domain decomposition methods', 'performance optimization of virtual reactors', 'parallel techniques and hybrid programming', 'high performance computing(hpc)']",Computing
SBCARS 2018,"Brazilian Symposium on Software Components, Architectures, and Reuse",https://easychair.org/cfp/sbcars-2018,"São Carlos, Brazil",2-Jul-18,17-Sep-18,"['software engineering', 'software architecture', 'mining software repositories', 'software evolution']",Computing
CoRes 2018,"Rencontres Francophones sur la Conception de Protocoles, l’Évaluation de Performance et l’Expérimentation des Réseaux de Communication",https://easychair.org/cfp/CoRes2018,"Roscoff, France",23-Feb-18,28-May-18,"['computer networks', 'performance evaluation', 'network protocols', 'network architectures']",Computing
SUMO2018,SUMO2018- Simulating Autonomous and Intermodal Transport Systems,https://easychair.org/cfp/SUMO2018,"Berlin, Germany",25-Feb-18,14-May-18,"['traffic simulation', 'autonomous driving', 'logistics']",Computing
WebDB 2018,International Workshop on the Web and Databases 2018,https://easychair.org/cfp/webdb2018,"Houston, TX, United States",9-Feb-18,,"['web data', 'machine learning', 'systems', 'search']",Computing
CITI 2018,4th International Conference on Technologies and Innovation,https://easychair.org/cfp/CITI2018,"Guayaquil, Ecuador",15-May-18,6-Nov-18,[],Computing
ICCCI 2018,10th International Conference on Computational Collective Intelligence,https://easychair.org/cfp/iccci2018,"Bristol, UK",1-Mar-18,5-Sep-18,"['knowledge representation and reasoning', 'multi agent systems', 'data mining', 'social networks']",Computing
LaTiCE 2018,International Conference on Learning and Teaching in Computing and Engineering 2018,https://easychair.org/cfp/latice2018,"Auckland, New Zealand",29-Jan-18,19-Apr-18,"['computer science education', 'engineering education']",Computing
RTDPCC-2018,4th International Symposium on Real-time Data Processing for Cloud Computing (RTDPCC 2018),https://easychair.org/cfp/RTDPCC-2018,"Exeter, UK",1-Mar-18,27-Jun-18,"['internet of things', 'cloud computing', 'cyber physical systems', 'real time data processing']",Computing
DSMP'2018,2018 IEEE Second International Conference on Data Stream Mining & Processing,https://easychair.org/cfp/DSMP2018,"Lviv, Ukraine",25-Mar-18,21-Aug-18,"['computational intelligence', 'machine vision', 'data stream mining', 'big data']",Computing
IEEE BigData Congress 2018,IEEE 2018 International Congress on Big Data,https://easychair.org/cfp/IEEEBigDataCongress2018,"San Francisco, CA, United States",,2-Jul-18,"['big data: algorithms architectures management', 'big data: security qos optimization', 'big data: mining applications resources', 'real time iot health']",Computing
ISAIR2018,The 3rd International Symposium on Artificial Intelligence and Robotics 2018,https://easychair.org/cfp/isair2018,"Nanjing, China",,17-Nov-18,[],Computing
SLATE 2018,"Symposium on Languages, Applications and Technologies",https://easychair.org/cfp/slate2018,"Guimarães, Portugal",18-Mar-18,21-Jun-18,"['code analysis', 'ontologies', 'service oriented architectures', 'natural language processing']",Computing
FNC-2018,13th International Conference on Future Networks and Communications,https://easychair.org/cfp/FNC2018,"Gran Canaria, Spain",22-Mar-18,13-Aug-18,"['networks', 'communication', 'intelligent', 'technology']",Computing
