 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
OK/Q1/2018,OWASP Kyiv Spring 2018,https://easychair.org/cfp/OK-Q1-2018,"Kyiv, Ukraine",28-Feb-18,3-Mar-18,"['web application security', 'software security', 'mobile security', 'security engineering']",Technology
ICCECE 2019,"International Conference on Computer, Electrical & Communication Engineering (ICCECE)",https://easychair.org/cfp/ICCECE2019,"KOLKATA, India",25-Sep-18,18-Jan-19,"['computer engineering', 'electrical engineering', 'communication engineering']",Technology
4-CIAB,4th Iberoamerican Conference on Biorefineries,https://easychair.org/cfp/4CIAB,"Jaen, Spain",20-May-18,22-Oct-18,"['biomass pretreatment', 'biorefinery processes and products', 'economic and sustainability evaluation']",Technology
PACIS 2018,The 22nd Pacific Asia Conference on Information Systems,https://easychair.org/cfp/PACIS2018,"YOKOHAMA, Japan",26-Feb-18,26-Jun-18,"['information systems', 'big data', 'artificial intelligence', 'digitized society']",Technology
IEEPS-18,"International Conference on Innovations in Electrical, Electronics, Power, Smart grids & Advanced Computing Technologies",https://easychair.org/cfp/ieeps-18,"Hyderabad, India",20-Feb-18,9-Mar-18,"['electronics engineering', 'electrical enginnering', 'power smart grid', 'advanced computing technologies']",Technology
eHaCON-2018,"International Ethical Hacking Conference, 2018",https://easychair.org/cfp/eHaCON2018,"Kolkata, India",10-Feb-18,6-Apr-18,"['ethical hacking', 'network security', 'software engineering and security', 'electronic/digital privacy']",Technology
Apr-18,ICRA 2018 Workshop on Animated and Real Life Personal Robots,https://easychair.org/cfp/apr2018,"Brisbane, Australia",15-Mar-18,21-May-18,"['affective computing', 'human robot interaction', 'social robot', 'animation in robotics design']",Technology
WIPPAS 2018,ICRA 2018 Workshop on Informative Path Planning and Adaptive Sampling,https://easychair.org/cfp/WIPPAS2018,"Brisbane, Australia",7-Mar-18,21-May-18,"['adaptive sampling', 'informative path planning', 'exploration and mapping missions', 'multi robot coordination']",Technology
QEST 2018,15th International Conference on Quantitative Evaluation of SysTems,https://easychair.org/cfp/QEST2018,"Beijing, China",18-Mar-18,4-Sep-18,[],Technology
ICSCAN �?2018,"IEEE International Conference on Systems, Computation, Automation and Networking",https://easychair.org/cfp/ICSCAN_2018,"Pondicherry, India",15-Apr-18,6-Jul-18,"['electrical engineering', 'communication technology', 'computer and information technology', 'mechanical engineering']",Technology
PST2018,Privacy Security Trust 2018,https://easychair.org/cfp/PST2018,"Belfast, UK",23-Apr-18,28-Aug-18,"['cybersecurity', 'network and wireless security', 'privacy preserving / enhancing technologies', 'trust technologies and trust management']",Technology
MobiWis 2018,The 15th International Conference on Mobile Web and Intelligent Information Systems,https://easychair.org/cfp/MobiWis2018,"Barcelona, Spain",5-Mar-18,6-Aug-18,"['mobile web', 'context awareness', 'pervasive and ubiquitous', 'mobile web security']",Technology
FiCloud 2018,The IEEE 6th International Conference on Future Internet of Things and Cloud,https://easychair.org/cfp/FiCloud-2018,"Barcelona, Spain",,6-Aug-18,"['cloud', 'iot', 'security', 'fog edge']",Technology
DMDMS 2018,2nd International Workshop on Data Mining for Decision Making Support,https://easychair.org/cfp/DMDMS-2018,"Porto, Portugal",,,"['knowledge management for dms', 'case based reasoning for dms', 'data mining for dms', 'knowledge discovery for dms']",Technology
iCreate - Mar 2018,"International Conference on Research, Enhancement & Advancements in Technology and Engineering Mar - 2018",https://easychair.org/cfp/iCreate-Mar2018,"Mumbai City, India",1-Feb-18,10-Mar-18,"['engineering', 'management', 'technology', 'science']",Technology
SRMPDS2018,The 14th International Workshop on Scheduling and Resource Management for Parallel and Distributed Systems,https://easychair.org/cfp/srmpds2018,"Eugene, OR, United States",15-Apr-18,13-Aug-18,"['scheduling', 'distributed computing', 'resource management', 'parallel computing']",Technology
ICNTEIT2018,International Conference on New Trends in Engineering and Information Technology,https://easychair.org/cfp/ICNTEIT2018,"Hilla, Babil, Iraq",23-Mar-18,23-Apr-18,"['engineering', 'information tecgnology']",Technology
CRIWG 2018,24th International Conference on Collaboration and Technology (CRIWG 2018),https://easychair.org/cfp/CRIWG2018,"Costa da Caparica, Portugal",8-Apr-18,5-Sep-18,"['collaboration technology', 'collaboration in specific application domains', 'collaboration through social media', 'organization design and engineering']",Technology
ICOST2018,International Conference on Smart homes and health Telematics,https://easychair.org/cfp/ICOST2018,"Singapore, Singapore",1-Mar-18,10-Jul-18,"['smart city', 'iot', 'e health', 'assistive technology']",Technology
Web3D '18,The 23rd International ACM Conference on 3D Web Technology,https://easychair.org/cfp/web3d2018,"Poznań, Poland",16-Feb-18,20-Jun-18,"['3d graphics and modeling', 'virtual augmented and mixed reality', 'models methods tools systems', 'virtual humans and avatars']",Technology
ITF2018 Research Day,ITF 2018 Pre-Summit Transport Research Day,https://easychair.org/cfp/itf2018researchday,"Leipzig, Germany",15-Feb-18,22-May-18,"['vehicle automation', 'road traffic injuries', 'vulnerable road users', 'transport systems resilience']",Technology
ICAST-18,International Conference on Advances in Science and Technology,https://easychair.org/cfp/icast18,"Mumbai, India",30-Jan-18,6-Apr-18,"['computer science', 'electronics and communication technology', 'applied science', 'interdisciplinary work']",Technology
ICMEM 2018,2018 2nd International Conference on Material Engineering and Manufacturing,https://easychair.org/cfp/ICMEM2018,"Xi'an, China",10-Jan-18,26-May-18,"['manufacturing', 'engineering', 'mechatronics', 'automation']",Technology
ICMCS'18,6th International Conference on Multimedia Computing and Systems,https://easychair.org/cfp/icmcs18,"Rabat, Morocco",31-Jan-18,10-May-18,"['pattern recognition', 'audio image and video analysis', 'systems and networks security', 'antenna and propagation']",Technology
ELS 2018,ELS'18 - 11th European Lisp Symposium,https://easychair.org/cfp/els2018,"Marbella, Spain",18-Feb-18,16-Apr-18,[],Technology
23rd ICCRTS,23rd International Command and Control Research and Technology Symposium,https://easychair.org/cfp/23rdICCRTS,"Pensacola, FL, United States",15-May-18,6-Nov-18,"['multi domain and coalition c2', 'c2 concepts theory', 'internet of intelligentthings', 'cognitive and socio technical challenges']",Technology
CD-MAKE 2018,International Cross Domain Conference for Machine Learning & Knowledge Extraction,https://easychair.org/cfp/CD-MAKE2018,"Hamburg, Germany",,27-Aug-18,[],Technology
RuleML+RR 2018,International Joint Conference on Rules and Reasoning,https://easychair.org/cfp/RuleML-RR-2018,"Luxembourg, Luxembourg",27-Apr-18,18-Sep-18,"['rules', 'reasoning', 'knowledge representation', 'artificial intelligence']",Technology
CPS-SR 2018,1st Workshop on Cyber-Physical Systems Security and Resilience,https://easychair.org/cfp/CPS-SR-2018,"Porto, Portugal",2-Feb-18,10-Apr-18,[],Technology
Blockchain 2018,2018 IEEE International Conference on Blockchain,https://easychair.org/cfp/blockchain-2018,"Halifax, Canada",1-Mar-18,30-Jul-18,[],Technology
AWMLC18,Australasian  Workshop on Machine Learning for Cyber-security,https://easychair.org/cfp/AWMLC18,"MELBOURNE, Australia",1-Feb-18,3-Jun-18,"['cyber security', 'machine learning', 'big data']",Technology
tvx360,TVX 2018 Workshop: 360° Video Streaming & Storytelling,https://easychair.org/cfp/tvx360,,17-Mar-18,26-Jun-18,"[u'360\xb0 video streaming', u'360\xb0 storytelling']",Technology
escar USA 2018,escar USA 2018,https://easychair.org/cfp/escarusa2018,"Ypsilanti, MI, United States",4-Mar-18,20-Jun-18,"['automotive', 'cybersecurity', 'privacy']",Technology
nets4trains nets4cars nets4aircrafts,13th International Workshop on Communication Technologies for Vehicles,https://easychair.org/cfp/nets4trainsnets4carsnets4aircrafts,"Madrid, Spain",1-Feb-18,17-May-18,[],Technology
PROFILES & DATA:SEARCH 2018,International Workshop on Profiling and Searching Data on the Web,https://easychair.org/cfp/profiles-datasearch-2018,"Lyon, France",24-Jan-18,24-Apr-18,"['web data search', 'data profiling', 'human data interaction']",Technology
BigR&I-2018,The 5th International Symposium on Big Data Research and Innovation,https://easychair.org/cfp/bigri2018,"Barcelona, Spain",5-Mar-18,6-Aug-18,"['security and privacy', 'analytics models and systems', 'data mining and machine learning', 'big data applications']",Technology
ICRA18_WMLR,ICRA 2018 Workshop on Multilegged Robots: Towards Robust Real-World Deployments,https://easychair.org/cfp/ICRA18WMLR,"Brisbane, Australia",20-Mar-18,21-May-18,"['robotics', 'legged locomotion', 'control', 'motion planning']",Technology
DF 2018,V&A Digital Futures,https://easychair.org/cfp/df2018,"London, UK",,9-Jul-18,[],Technology
ICFNDS 2018,International Conference on Future Networks and Distributed Systems,https://easychair.org/cfp/ICFNDS2018,"Amman, Jordan",,26-Jun-18,"['internet of things', 'cloud computing', 'security', 'networks']",Technology
SEIA' 2018,Fourth International Conference  on Sensors and Electronic Instrumentation Advances (SEIA' 2018),https://easychair.org/cfp/SEIA-2018,"Amsterdam, Netherlands",30-Mar-18,19-Sep-18,"['sensors', 'electronic instrumentation', 'transducers']",Technology
CITT 2018,4th International Conference on Technology Trends,https://easychair.org/cfp/citt2018,"Babahoyo, Ecuador",15-May-18,29-Aug-18,"['software engineering', 'communications', 'security', 'hci']",Technology
IPIC2018 Doctoral Colloquium,5th International Physical Internet Conference,https://easychair.org/cfp/IPIC2018-Doctoral-colloquium,"Groningen, Netherlands",1-Mar-18,17-Jun-18,"['physical internet', 'logistics', 'transportation']",Technology
IPIC2018,5th International Physical Internet Conference,https://easychair.org/cfp/IPIC2018,"Groningen, Netherlands",1-Apr-18,18-Jun-18,"['logistics', 'physical internet', 'transportation']",Technology
12 TURITEC,ICT and Tourism International Conference,https://easychair.org/cfp/12_TURITEC,"Málaga, Spain",1-Sep-18,10-Oct-18,"['tourism', 'information technology', 'blockchain', 'innovation']",Technology
RTDEEE-2018,2nd International Conference on Recent Technological Developments in Electronics and Electrical Engineering-2018,https://easychair.org/cfp/RTDEEE-2018,"Jaipur, India",20-Feb-18,6-Apr-18,"['embedded systems', 'wireless and mobile communication', 'vlsi technology', 'power systems and renewable energy']",Technology
ARES 2018,"International Conference on Availability, Reliability and Security",https://easychair.org/cfp/ARES2018,"Hamburg, Germany",16-Mar-18,27-Aug-18,"['availability', 'reliability', 'security']",Technology
NCMC'18,National Conference on Mobile Computing,https://easychair.org/cfp/NCMC-18,"Trichy, India",20-Feb-18,28-Feb-18,"['programming languages', 'search based software engineering', 'debugging fault localization and repair', 'human and social of se']",Technology
ADR18,Annual Design Research Conference,https://easychair.org/cfp/ADR18,"Sydney, Australia",16-May-18,27-Sep-18,"['architecture', 'landscape', 'urban', 'interior']",Technology
SRM:2020,Scientific Research Management,https://easychair.org/cfp/SRM-2020,"Mumbai, India",20-Mar-18,,"['qualitative research', 'research methodology', 'technology management', 'beginners research']",Technology
ICCIA 2018,2018 the 3rd IEEE International Conference on Computational Intelligence and Applications,https://easychair.org/cfp/ICCIA2018,"Hong Kong, Hong Kong",,28-Jul-18,"['computational intelligence', 'data mining', 'fuzzy systems', 'pattern recognition']",Technology
